Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit"
"38098114","40860827","15000","15000","15000"," 60 months"," 12.39%","336.64","C","C1","MANAGEMENT","10+ years","RENT","78000","Source Verified","Dec-2014","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=38098114","","debt_consolidation","Debt consolidation","235xx","VA","12.03","0","Aug-1994","0","","","6","0","138008","29%","17","w","11855.33","11855.33","5374.56","5374.56","3144.67","2229.89","0.0","0.0","0.0","May-2016","336.64","Jun-2016","May-2016","0","","1","INDIVIDUAL","","","","0","0","149140","","","","","","","","","","","","184500","","","","5","29828","9525","4.7","0","0","103","244","1","1","0","47","","","","0","1","4","1","2","8","5","9","4","6","0","0","0","4","100","0","0","0","196500","149140","10000","12000"
"36805548","39558264","10400","10400","10400"," 36 months","  6.99%","321.08","A","A3","Truck Driver Delivery Personel","8 years","MORTGAGE","58000","Not Verified","Dec-2014","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=36805548","","credit_card","Credit card refinancing","937xx","CA","14.92","0","Sep-1989","2","42","","17","0","6133","31.6%","36","w","6044.87","6044.87","5127.18","5127.18","4355.13","772.05","0.0","0.0","0.0","May-2016","321.08","Jun-2016","May-2016","0","59","1","INDIVIDUAL","","","","0","0","162110","","","","","","","","","","","","19400","","","","7","9536","7599","41.5","0","0","76","290","1","1","1","5","42","1","42","4","6","9","7","18","2","14","32","9","17","0","0","0","4","83.3","14.3","0","0","179407","15030","13000","11325"
"37822187","40585251","9600","9600","9600"," 36 months"," 13.66%","326.53","C","C3","Admin Specialist","10+ years","RENT","69000","Source Verified","Dec-2014","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=37822187","","debt_consolidation","Debt consolidation","077xx","NJ","25.81","0","Nov-1992","0","","","12","0","16388","59.4%","44","f","0.00","0.00","9973.43","9973.43","9600.00","373.43","0.0","0.0","0.0","Apr-2015","9338.58","","May-2016","0","","1","INDIVIDUAL","","","","0","0","38566","","","","","","","","","","","","27600","","","","8","3214","6494","69.2","0","0","183","265","23","3","0","24","","17","","0","4","7","5","16","17","8","26","7","12","0","0","0","3","100","60","0","0","52490","38566","21100","24890"
"37612354","40375473","12800","12800","12800"," 60 months"," 17.14%","319.08","D","D4","Senior Sales Professional","10+ years","MORTGAGE","125000","Verified","Dec-2014","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=37612354","","car","Car financing","953xx","CA","8.31","1","Oct-2000","0","17","","8","0","5753","100.9%","13","w","10370.09","10370.09","5074.81","5074.81","2429.91","2644.90","0.0","0.0","0.0","May-2016","319.08","Jun-2016","May-2016","0","36","1","INDIVIDUAL","","","","0","0","261815","","","","","","","","","","","","5700","","","","2","32727","0","103.2","0","0","16","170","21","16","5","21","17","1","17","1","3","5","3","5","1","5","7","5","8","0","0","0","0","76.9","100","0","0","368700","18007","4400","18000"
